Label;Id;Weight
http://mda.maryland.gov/foodfeedquality/Pages/good_ag_practices.aspx;1;0.0
http://www.fertilizer.org/en/doc_library/Knowledge%20Resources/IFAposition_post2015SDG_FINAL_7May.pdf;19;0.0
https://croplife.org/crop-protection/anti-counterfeiting/;75;0.0
http://mda.maryland.gov/resource_conservation/Pages/default.aspx;8;0.0
http://croplife.org/trainingthroughlocalpartnerships/;80;0.0
https://croplife.org/news-views/sharing-the-story/;82;0.0
https://croplife.org/news-views/plant-science-post/;84;0.0
http://mda.maryland.gov/foodfeedquality/Pages/grain.aspx;17;0.0
http://mda.maryland.gov/Pages/default.aspx;6;0.0
https://croplife.org/resource/croplife-international-statement-on-the-conclusion-of-iccm4/;86;0.0
https://croplife.org/about/members/;102;0.0
https://croplife.org/disclaimer/;89;0.0
http://dailyranger.com/story.php?story_id=23034&headline=two-in-county-win-lifepoint-mercy-awards;52;0.0
http://dailyranger.com/ranger_headlines.php?category=6&page=1;49;0.0
https://croplife.org/news-views/public-private-partnerships/;92;0.0
http://www.lift-fund.org/contact;32;0.0
http://dailyranger.com/login.php;57;0.0
http://dailyranger.com/ranger_headlines.php?category=4&page=1;58;0.0
http://croplife.org/news-views/plant-science-post/;95;0.0
https://croplife.org/crop-protection/cp-case-studies/;96;0.0
https://croplife.org/crop-protection/regulatory/;97;0.0
https://croplife.org/media/;99;0.0
http://www.lift-fund.org/focus-areas;34;0.0
https://croplife.org/about/global-network/;100;0.0
http://mda.maryland.gov/AnimalHealth/Pages/default.aspx;4;0.0
http://www.lift-fund.org/delta;40;0.0
http://dailyranger.com/sub_form.php;61;0.0
http://dailyranger.com/story.php?story_id=23021;67;0.0
http://dailyranger.com/story.php?story_id=23022;68;0.0
http://dailyranger.com/index.php;72;0.0
https://croplife.org/about/staff/;73;0.0
https://croplife.org/news-views/;74;0.0
http://dailyranger.com/staff.php;46;0.0
http://dailyranger.com/ranger_headlines.php?category=1&page=1;48;0.0
https://croplife.org/plant-biotechnology/stewardship-2/;81;0.0
https://croplife.org/news-views/public-health-and-vector-control/;83;0.0
https://croplife.org/resource/cost-of-crop-protection-innovation-increases-to-286-million-per-product/;85;0.0
http://www.lift-fund.org/what-we-do;25;0.0
http://dailyranger.com/story.php?story_id=23010;71;0.0
https://croplife.org/news-views/helping-farmers-grow/;98;0.0
http://dailyranger.com/story.php?story_id=23014;53;0.0
http://dailyranger.com/story.php?story_id=23016;54;0.0
http://www.lift-fund.org/dry-zone-0;27;0.0
https://croplife.org/wp-content/uploads/2014/06/Who-We-Are.pdf;91;0.0
http://dailyranger.com/story.php?story_id=23029&headline=washington-coal-terminal-denied-permit;69;0.0
https://croplife.org/trainingthroughlocalpartnerships/cocoa/;94;0.0
http://mda.maryland.gov/foodfeedquality/Pages/poultry_rabbit_program.aspx;2;0.0
http://www.lift-fund.org/related-links;33;0.0
http://www.lift-fund.org/press-resources%20;35;0.0
http://www.lift-fund.org/structure;38;0.0
http://dailyranger.com/ranger_headlines.php?category=3&page=1;60;0.0
http://dailyranger.com/story.php?story_id=23006;63;0.0
https://croplife.org/contact/;103;0.0
http://dailyranger.com/story.php?story_id=23026&headline=flooding-brings-trouble-to-county;47;0.0
https://croplife.org/;106;0.0
http://www.lift-fund.org/strategy;41;0.0
http://mda.maryland.gov/;11;0.0
https://croplife.org/news-views/blog/;107;0.0
http://dailyranger.com/story.php?story_id=23036&headline=today;45;0.0
http://mda.maryland.gov/plants-pests/Pages/state_chemist.aspx;5;0.0
http://www.lift-fund.org/news;21;0.0
https://croplife.org/crop-protection/;76;0.0
http://www.lift-fund.org/best-practices;22;0.0
https://croplife.org/plant-biotechnology/how-is-a-biotech-crop-made/;79;0.0
http://mda.maryland.gov/foodfeedquality/Pages/egg_inspection.aspx;15;0.0
http://mda.maryland.gov/Pages/Online-Services.aspx;7;0.0
http://mda.maryland.gov/foodfeedquality/Pages/grading.aspx;3;0.0
http://dailyranger.com/story.php?story_id=23038&headline=grad-gets-best-of-both-worlds;55;0.0
http://www.lift-fund.org/work-with-us;28;0.0
http://mda.maryland.gov/foodfeedquality/Documents/GHPPROGRAMREQUIREMENTS.pdf;14;0.0
http://www.lift-fund.org/migration-0;31;0.0
http://mda.maryland.gov/foodfeedquality/Pages/certified_md_organic_farms.aspx;16;0.0
https://croplife.org/resources/;93;0.0
http://www.lift-fund.org/financial-inclusion;36;0.0
http://www.lift-fund.org/inclusive-market-development-and-private-sector;39;0.0
http://dailyranger.com/calendar.php;62;0.0
http://dailyranger.com/ranger_headlines.php?category=2&page=1;64;0.0
http://dailyranger.com/cal-archive.php;65;0.0
https://croplife.org/about/;104;0.0
http://www.lift-fund.org/blogs;42;0.0
http://mda.maryland.gov/foodfeedquality/Pages/egg_quality_assurance.aspx;12;0.0
http://dailyranger.com/ranger_headlines.php?category=7&page=1;70;0.0
